"","pathogen","subs_per_site_per_year","subs_per_year","subs_per_site_per_day","mean_GT","sd_GT","genome_length","source_mutation_rate","source_GT","source_genome_length"
"1","Dengue",0.000621,NA,NA,18.2,6.1,11000,"https://nextstrain.org/dengue/denv1?l=clock","https://www.nature.com/articles/s41467-021-21888-9",NA
"2","Mumps",0.000435,NA,NA,21,15.7,15384,"https://nextstrain.org/mumps/na?l=clock","WHO (https://www.cdc.gov/mumps/hcp.html) assuming an incubation period of 14 days and an infectious one of 7 days post","10.1128/genomeA.00748"
"3","MERS",0.000459,NA,NA,6.8,6.3,30130,"Dudas et al. eLife","Cauchemez et al. PNAS. 2016",NA
"4","SARS-CoV",NA,NA,1.14e-05,8.7,3.6,29714,"https://doi.org/10.1371/journal.ppat.1006885","https://doi.org/10.1371/journal.ppat.1006885","https://doi.org/10.1371/journal.ppat.1006885"
"5","SARS-CoV-2 (pre-Omicron)",NA,26.6,NA,5.9,4.8,NA,NA,NA,NA
"6","SARS-CoV-2 (Omicron)",NA,26.6,NA,4.9,4.8,NA,NA,NA,NA
"7","Ebola",NA,NA,3.1e-06,14.4,8.9,18958,"https://doi.org/10.1371/journal.ppat.1006885","https://doi.org/10.1371/journal.ppat.1006885","https://doi.org/10.1371/journal.ppat.1006885"
"8","Mpox",6.38e-05,NA,NA,12.4645,5.65983,197209,"Nextstrain",NA,NA
"9","Measles",0.000497,NA,NA,11.2,1.79,15894,"https://nextstrain.org/mumps/global?l=clock","https://reader.elsevier.com/reader/sd/pii/S0022519311003146?token=A6046F166054A3991F645E68FC6167652EB6BA1B02A9E20DDFB382FE39EE85903578B986777D7D0117CF44D0640FE02D&originRegion=us-east-1&originCreation=20221216223845",NA
"10","RSV-A",0.000647,NA,NA,13,9.84,15200,"10.1128/JVI.03278-12 + Ability of single genes","Using latent period + infectious period of https://www.sciencedirect.com/science/article/pii/S0040580916300065",NA
"11","Zika",0.00112,NA,NA,20,7.4,10274,", 10.1038/nature22401","10.1126/science.aag0219",NA
"12","Influenza A (H1N1pdm)",0.00341,NA,NA,3,1.5,13154,"10.1098/rsbl.2013.0331","https://doi.org/10.1371/journal.ppat.1006885",NA
